Likes,Views
2546,51885
66783,2040877
9165,649114
144074,6037721
89572,4562145
15858,568816
27854,962507
11841,482392
32884,1296777
5931,146774
385,11745
2229,70762
29014,2295412
8731,502221
1027,6640
126726,2453529
56906,4231789
15425,920846
66550,2609123
3112,146080
3429,101986
3251,157525
24425,994999
275,9780
17610,956340
34870,1453590
859,39944
3172,257199
62103,2027462
27277,507103
34040,1466906
47644,1061608
4748,47619
14691,719270
3408,140607
15399,896227
10877,739507
27439,604827
36272,518790
6686,439103
3312,91932
4407,68989
33744,1804121
1449,58621
4439,67276
32043,1713463
10524,311071
30633,1707883
48535,1912405
5449,596680
47782,3330650
356,14593
131,7966
33130,2792013
2459,72310
7530,646913
842,18837
4721,391796
13526,1048396
11675,1550802
2766,441183
48,2847
1121873,145167323
79639,10792977
515049,78137822
1499298,94340456
157924,29657435
121553,26260197
340686,35695760
6626,401678
7786057,524709805
119272,26826274
23477,1345689
4644,392314
789062,58921922
1430457,321977550
1158,85052
361395,50358797
17286,1603229
85527,6055668
203103,6644534
1301198,98559845
1072689,302125099
2122,164940
397142,49183640
2206,157632
130796,9493733
6366,302407
25,4454
5716,153064
287759,4288625
57666,2966344
362022,11440455
1171433,308501014
16578,1088318
26215,693153
232336,33227408
6201,467835
135484,5301271
153490,5637132
288,20076
144517,19210396
35503,1206538
74840,9224408
160501,46251795
394837,42257995
3075,42648
24505,426409
7364,100979
12928,109363
125907,1425150
251667,7433726
28773,928704
319390,3433953
28453,743338
2464,57850
27780,960994
32006,534114
2769,63870
430267,14286302
22283,613757
133987,1345404
44783,1198270
49530,1212736
96363,1484533
91777,2333380
608,10509
153762,4364168
451,7383
13777,338844
106511,4502356
15082,310738
29921,1005072
20616,425099
37296,855392
22894,420420
455277,9736125
127211,2987298
10705,639089
25917,608323
29615,869372
3237,80522
100199,1430388
6253,115655
6189,328489
1213,53965
33974,715895
10724,186568
36776,740962
4873,64877
1229,21962
804,14721
76217,1266882
344,5388
1139,128524
467,36585
14787,296801
4855,75586
4296,78423
2945,58050
1804,24792
8534,138803
1808,36473
701,16243
597,10572
3344,55828
563,14537
2025,32988
1031,19755
1717,34348
4512,116672
454036,23568994
56993,1686249
34526,1018753
11283,261713
18685,464557
96744,4309217
311,10108
1362,43743
875,15786
16649,951514
815,6178
1722,25331
35777,1228300
423,9245
9886,297290
51772,1075761
703,8694
148120,10008290
4656,31449
2237,33028
2011,16887
618688,33779197
2786,26789
26419,747110
17961,463378
61031,1229745
12942,369997
26859,904713
13542,619387
6160,146821
4686,59177
15150,319387
5577,121692
207,2985
15652,459455
109,9542
182,19525
83707,20548194
329,14336
823,29864
227790,13966109
714,119878
5174,187956
2184,32162
2696,40240
94131,3921128
577,14780
488,21332
2286473,250793774
10402,1671725
16909,3308580
26306,2225959
5010,159448
119953,1693263
4663,33480
10389,97930
9627,318166
242721,5833454
14741,811965
5041,141779
1240,54917
470,29055
365971,35490831
3001232,23836066
1634,148482
132,2944
542,71547
106056,1554691
519,57394
6823113,915457091
1259,9958
152593,15666598
718,64395
145,10105
304,16123
23546,2367294
7219,312191
731644,45665114
50488,1090694
12595,2861258
94,3773
112098,5451348
77893,3927439
31578,2710713
139442,7320107
48163,1669551
37893,1335899
121547,6315803
158510,8947796
146566,14073219
23824,805994
30033,810069
9093,355919
103051,2575482
104631,4087572
77866,2349546
18957,702174
371116,17069830
23502,1016391
28031,1348450
25021,967211
2400,156294
47460,1658204
44713,1186255
227589,6340958
18649,748675
58950,7755963
672749,48018833
47086,3452285
140841,10338163
25825,608177
501165,32791832
71688,4783245
26616,441062
155534,2564092
75028,4695664
63497,2936679
19325,385239
205831,11829970
175132,4357193
774,48984
1241,47430
105355,5547667
5077,93633
41927,1952077
75063,12244410
22891,1006579
6851,963335
32631,1322089
11248,384035
959,28759
218539,19256162
281285,17282158
378858,17975269
65909,1864630
1056430,75785129
1221507,86169225
3721,45157
861503,79941868
51437,4341289
45628,5283664
141654,11184537
126347,11188525
737,15390
7650,231488
34599,824297
1032,54030
5352,154461
95162,11235146
2694,74586
2817,286228
28966,906361
29955,1057862
